Ensembl Protein ID	HGNC symbol
ENSP00000254351	SDC1
ENSP00000254436	TRIM21
ENSP00000254442	WDR7
ENSP00000254457	LHX1
ENSP00000254466	GAS2L2
ENSP00000254480	SMARCC1
ENSP00000254488	SLC6A11
ENSP00000254508	NUP210
ENSP00000254521	HSD17B7
ENSP00000254528	EMILIN2
ENSP00000254579	DNHD1
ENSP00000254584	ARFIP2
ENSP00000254605	RRP8
ENSP00000254616	TIMM10B
ENSP00000254624	EFR3A
ENSP00000254630	PTCD3
ENSP00000254654	ILKAP
ENSP00000254657	PER2
ENSP00000254661	RAMP1
ENSP00000254663	SCLY
ENSP00000254667	PTPRE
ENSP00000254691	CARD6
ENSP00000254695	RAP1GAP2
ENSP00000254712	INPP5K
ENSP00000254719	RPA1
ENSP00000254722	SERPINF1
ENSP00000254730	EEFSEC
ENSP00000254742	TMEM128
ENSP00000254759	COQ3
ENSP00000254765	POPDC3
ENSP00000254770	LANCL2
ENSP00000254799	GRSF1
ENSP00000254801	IGJ
ENSP00000254803	UTP3
ENSP00000254806	WBP2
ENSP00000254810	H3F3B
ENSP00000254816	TRIM47
ENSP00000254835	ANKRD20A3
ENSP00000254846	KDM6B
ENSP00000254853	SLC52A1
ENSP00000254854	GUCY2D
ENSP00000254868	CLEC10A
ENSP00000254878	HRSP12
ENSP00000254898	MATN2
ENSP00000254900	BRD8
ENSP00000254901	REEP2
ENSP00000254908	PCBD2
ENSP00000254928	ERAL1
ENSP00000254940	NIP7
ENSP00000254942	TERF2
ENSP00000254950	VPS4A
ENSP00000254958	JAG1
ENSP00000254963	HSPA12B
ENSP00000254976	SNAP25
ENSP00000254998	NXT1
ENSP00000255006	RIN2
ENSP00000255008	SSTR4
ENSP00000255013	RHBG
ENSP00000255030	CRP
ENSP00000255039	HAPLN2
ENSP00000255040	APCS
ENSP00000255078	IGHMBP2
ENSP00000255082	ACY3
ENSP00000255084	ALDH3B2
ENSP00000255087	MTL5
ENSP00000255108	DPH2
ENSP00000255129	ZNF334
ENSP00000255152	ZSWIM3
ENSP00000255174	OSER1
ENSP00000255175	SERINC3
ENSP00000255189	DMGDH
ENSP00000255192	BHMT2
ENSP00000255194	AP3B1
ENSP00000255198	ZBED3
ENSP00000255224	SYT4
ENSP00000255226	SLC14A2
ENSP00000255262	NMUR2
ENSP00000255266	PDE6A
ENSP00000255304	USPL1
ENSP00000255305	XPO4
ENSP00000255324	RNF17
ENSP00000255380	CHRM3
ENSP00000255381	MYH4
ENSP00000255389	PEMT
ENSP00000255390	SCO1
ENSP00000255409	CHI3L1
ENSP00000255416	MYBPH
ENSP00000255427	CHIT1
ENSP00000255448	DCLK1
ENSP00000255465	CCNA1
ENSP00000255476	RFXAP
ENSP00000255499	RNF128
ENSP00000255531	PCDH19
ENSP00000255559	SLC39A11
ENSP00000255608	BTBD2
ENSP00000255612	PRAM1
ENSP00000255613	SUV420H2
ENSP00000255616	ZNF414
ENSP00000255631	HSPBP1
ENSP00000255641	CSNK1G2
ENSP00000255674	RTTN
ENSP00000255681	MACROD1
ENSP00000255688	RARRES3
ENSP00000255695	HRASLS2
ENSP00000255746	ZNF679
ENSP00000255759	FOPNL
ENSP00000255764	MED10
ENSP00000255784	CCDC134
ENSP00000255858	SEC14L4
ENSP00000255882	PI4KA
ENSP00000255945	GIMAP4
ENSP00000255977	MKRN1
ENSP00000255992	KRBA1
ENSP00000256001	ACTR3B
ENSP00000256010	NTS
ENSP00000256015	BTG1
ENSP00000256031	ATP13A3
ENSP00000256039	DYDC2
ENSP00000256062	TMTC1
ENSP00000256078	KRAS
ENSP00000256079	IPO8
ENSP00000256103	PMP2
ENSP00000256104	FABP4
ENSP00000256119	CA1
ENSP00000256151	CCDC59
ENSP00000256178	LYVE1
ENSP00000256186	MICALCL
ENSP00000256190	SBF2
ENSP00000256194	MICAL2
ENSP00000256196	RRAS2
ENSP00000256216	HSD17B4
ENSP00000256246	TEX15
ENSP00000256255	TMEM66
ENSP00000256257	RNF122
ENSP00000256261	DUSP26
ENSP00000256319	C14orf1
ENSP00000256324	C14orf159
ENSP00000256339	UNC79
ENSP00000256343	CATSPERB
ENSP00000256362	VRTN
ENSP00000256366	SYNJ2BP
ENSP00000256367	TTC9
ENSP00000256379	MED6
ENSP00000256383	EIF2S1
ENSP00000256389	ADAM20
ENSP00000256398	ELP3
ENSP00000256404	PEBP4
ENSP00000256412	ADAMDEC1
ENSP00000256429	MBD2
ENSP00000256433	IER3IP1
ENSP00000256441	MRPS36
ENSP00000256442	CCNB1
ENSP00000256443	CDK7
ENSP00000256447	CD180
ENSP00000256452	IL5RA
ENSP00000256458	IRAK2
ENSP00000256460	CAMK1
ENSP00000256474	VHL
ENSP00000256495	BHLHE40
ENSP00000256496	ARL8B
ENSP00000256497	EDEM1
ENSP00000256509	CHL1
ENSP00000256538	DPH6
ENSP00000256544	KATNBL1
ENSP00000256545	EMC7
ENSP00000256578	AMPD2
ENSP00000256585	REG4
ENSP00000256592	TSHB
ENSP00000256593	GSTM5
ENSP00000256594	GSTM3
ENSP00000256637	SORT1
ENSP00000256644	LAMTOR5
ENSP00000256646	NOTCH2
ENSP00000256649	TRIM45
ENSP00000256652	CD101
ENSP00000256658	AP4B1
ENSP00000256680	FKBP11
ENSP00000256682	ARF3
ENSP00000256686	TMEM106C
ENSP00000256689	SLC38A2
ENSP00000256707	KIDINS220
ENSP00000256720	LPIN1
ENSP00000256722	CMPK2
ENSP00000256733	SAA2
ENSP00000256737	ANO3
ENSP00000256759	FST
ENSP00000256785	CFHR5
ENSP00000256797	ERN2
ENSP00000256854	NARS
ENSP00000256857	GRP
ENSP00000256861	ITIH5
ENSP00000256897	CCNH
ENSP00000256906	HRH4
ENSP00000256925	CABLES1
ENSP00000256935	DOCK2
ENSP00000256951	EMP1
ENSP00000256953	RERG
ENSP00000256958	SLCO1B1
ENSP00000256969	C12orf39
ENSP00000256996	DDB2
ENSP00000256997	ACP2
ENSP00000256999	FOLH1
ENSP00000257013	FAM127A
ENSP00000257017	RAB33A
ENSP00000257068	MTNR1B
ENSP00000257118	PHC2
ENSP00000257177	ZCCHC11
ENSP00000257181	PRPF38A
ENSP00000257189	DSG3
ENSP00000257192	DSG1
ENSP00000257198	DSC1
ENSP00000257209	FHOD3
ENSP00000257215	DAGLA
ENSP00000257245	TIMM10
ENSP00000257248	GIF
ENSP00000257254	APLNR
ENSP00000257262	TMEM258
ENSP00000257264	TCN1
ENSP00000257267	C5AR2
ENSP00000257287	CEP135
ENSP00000257290	PDGFRA
ENSP00000257312	DZIP1
ENSP00000257336	BIVM
ENSP00000257347	CARS2
ENSP00000257359	ADAMTS8
ENSP00000257408	KLB
ENSP00000257430	APC
ENSP00000257497	ANXA1
ENSP00000257515	FAM189A2
ENSP00000257527	ADAM19
ENSP00000257548	USP30
ENSP00000257549	SDS
ENSP00000257552	MSI1
ENSP00000257555	HNF1A
ENSP00000257566	TBX3
ENSP00000257570	OASL
ENSP00000257572	HRK
ENSP00000257575	RNFT2
ENSP00000257600	DTX1
ENSP00000257604	TRAFD1
ENSP00000257622	POM121
ENSP00000257626	GSAP
ENSP00000257627	OCM2
ENSP00000257632	UPK3B
ENSP00000257637	TMEM243
ENSP00000257663	TMEM60
ENSP00000257694	PNPLA8
ENSP00000257696	HILPDA
ENSP00000257700	RINT1
ENSP00000257724	MDFIC
ENSP00000257745	KMT2E
ENSP00000257749	BACH2
ENSP00000257765	KHDC1
ENSP00000257770	NT5E
ENSP00000257776	MRAP2
ENSP00000257787	AKIRIN2
ENSP00000257789	ORC3
ENSP00000257818	LMO2
ENSP00000257829	NAT10
ENSP00000257831	EHF
ENSP00000257836	PRRG4
ENSP00000257857	CD63
ENSP00000257860	PRPH
ENSP00000257861	AVIL
ENSP00000257863	AMHR2
ENSP00000257867	LACRT
ENSP00000257868	GDF11
ENSP00000257879	ITGA7
ENSP00000257894	FAM186B
ENSP00000257895	RDH5
ENSP00000257899	BLOC1S1
ENSP00000257901	KRT85
ENSP00000257904	CDK4
ENSP00000257905	PPP1R1A
ENSP00000257909	TROAP
ENSP00000257910	TSPAN31
ENSP00000257915	TFCP2
ENSP00000257934	ESPL1
ENSP00000257940	ZC3H10
ENSP00000257951	KRT84
ENSP00000257963	ACVR1B
ENSP00000257974	KRT82
ENSP00000257979	MIP
ENSP00000257981	KCNH3
ENSP00000258034	TAAR5
ENSP00000258042	NMBR
ENSP00000258052	SMPD2
ENSP00000258062	REPS1
ENSP00000258080	HTRA2
ENSP00000258083	PRADC1
ENSP00000258091	CCT7
ENSP00000258098	RAB11FIP5
ENSP00000258105	MRPL53
ENSP00000258106	EMX1
ENSP00000258111	KCNMB4
ENSP00000258123	USP15
ENSP00000258145	GNS
ENSP00000258168	BCMO1
ENSP00000258169	MPHOSPH6
ENSP00000258180	KIAA0513
ENSP00000258198	DYNC1LI2
ENSP00000258200	FBXL8
ENSP00000258201	FHOD1
ENSP00000258214	CCDC102A
ENSP00000258229	PCNXL2
ENSP00000258243	URB2
ENSP00000258281	TAF5L
ENSP00000258298	TEX35
ENSP00000258301	STX6
ENSP00000258302	RGS8
ENSP00000258317	NPL
ENSP00000258324	PIGC
ENSP00000258341	LAMC1
ENSP00000258349	RC3H1
ENSP00000258381	SP110
ENSP00000258383	MRPL44
ENSP00000258385	CHRND
ENSP00000258390	DOCK10
ENSP00000258398	TTLL4
ENSP00000258399	USP37
ENSP00000258400	HTR2B
ENSP00000258403	SLC19A3
ENSP00000258411	WNT10A
ENSP00000258412	TMBIM1
ENSP00000258415	CYP27A1
ENSP00000258416	EIF4E2
ENSP00000258417	ARMC9
ENSP00000258418	CAB39
ENSP00000258424	COX5B
ENSP00000258428	REV1
ENSP00000258436	MFSD9
ENSP00000258439	TMEM127
ENSP00000258443	EDAR
ENSP00000258449	TGFBRAP1
ENSP00000258455	MRPS9
ENSP00000258456	GPR45
ENSP00000258457	C2orf49
ENSP00000258484	EPC2
ENSP00000258494	ALDH1L2
ENSP00000258499	USP44
ENSP00000258526	PLXNC1
ENSP00000258530	APPL2
ENSP00000258534	DRAM1
ENSP00000258538	SLC41A2
ENSP00000258613	THSD1
ENSP00000258646	RCBTB1
ENSP00000258648	MED4
ENSP00000258654	COG3
ENSP00000258662	NUDT15
ENSP00000258679	PLEKHA8
ENSP00000258682	CAMK2B
ENSP00000258704	SPDYE1
ENSP00000258711	CHST12
ENSP00000258729	IGF2BP3
ENSP00000258738	ABCB5
ENSP00000258739	KDELR2
ENSP00000258742	NUPL2
ENSP00000258743	IL6
ENSP00000258749	AOAH
ENSP00000258761	BZW2
ENSP00000258770	TBRG4
ENSP00000258772	DDX56
ENSP00000258774	HUS1
ENSP00000258776	C7orf69
ENSP00000258787	MYO1G
ENSP00000258796	TTYH3
ENSP00000258807	CIDEB
ENSP00000258821	TTC5
ENSP00000258829	NKX2-8
ENSP00000258873	ACSBG1
ENSP00000258874	MTHFS
ENSP00000258884	ABHD17C
ENSP00000258886	IREB2
ENSP00000258888	ALPK3
ENSP00000258930	CIB2
ENSP00000258947	CALCOCO2
ENSP00000258955	RSAD1
ENSP00000258960	NMT1
ENSP00000258962	SRSF1
ENSP00000258963	VEZF1
ENSP00000258969	CHAD
ENSP00000258975	TACO1
ENSP00000258991	TEX2
ENSP00000259006	LIMD2
ENSP00000259008	BRIP1
ENSP00000259021	KAT7
ENSP00000259030	RTP4
ENSP00000259037	NDUFB5
ENSP00000259050	MARCH7
ENSP00000259053	CD302
ENSP00000259056	GALNT5
ENSP00000259075	TANK
ENSP00000259089	BLK
ENSP00000259119	SKIL
ENSP00000259154	KCTD3
ENSP00000259199	CBWD2
ENSP00000259205	IL36G
ENSP00000259206	IL1RN
ENSP00000259211	IL36A
ENSP00000259212	IL36RN
ENSP00000259213	IL36B
ENSP00000259216	CFC1
ENSP00000259229	CCDC115
ENSP00000259235	SAP130
ENSP00000259239	IMP4
ENSP00000259241	HS6ST1
ENSP00000259253	UGGT1
ENSP00000259254	GYPC
ENSP00000259271	GAD2
ENSP00000259324	LRRC8A
ENSP00000259335	KIAA0368
ENSP00000259339	TOR1B
ENSP00000259351	RALGPS1
ENSP00000259357	OR1J1
ENSP00000259362	OR13C9
ENSP00000259365	TMOD1
ENSP00000259371	DAB2IP
ENSP00000259392	SLC31A2
ENSP00000259396	ORM1
ENSP00000259400	STX17
ENSP00000259406	RGS3
ENSP00000259407	BAAT
ENSP00000259455	GABBR2
ENSP00000259456	HEMGN
ENSP00000259457	PSMB7
ENSP00000259466	OR1L4
ENSP00000259467	PDCL
ENSP00000259469	RPL35
ENSP00000259470	CTSV
ENSP00000259477	ARPC5L
ENSP00000259486	ENPP2
ENSP00000259512	DERL1
ENSP00000259526	NOV
ENSP00000259569	RANBP6
ENSP00000259605	RNF38
ENSP00000259607	CCL21
ENSP00000259608	SIT1
ENSP00000259631	CCL27
ENSP00000259632	DCTN3
ENSP00000259633	CD72
ENSP00000259667	HINT2
ENSP00000259698	FAM65B
ENSP00000259708	KLC4
ENSP00000259711	KIF13A
ENSP00000259726	CDSN
ENSP00000259727	GMPR
ENSP00000259748	FRS3
ENSP00000259750	TTBK1
ENSP00000259751	TJAP1
ENSP00000259782	TINAG
ENSP00000259791	HIST1H2AB
ENSP00000259803	GCM1
ENSP00000259806	FOXF2
ENSP00000259808	RIPK1
ENSP00000259818	TUBB2B
ENSP00000259845	PSORS1C2
ENSP00000259870	C6orf15
ENSP00000259873	MRPS18B
ENSP00000259874	IER3
ENSP00000259881	PSORS1C1
ENSP00000259883	PGBD1
ENSP00000259891	MOG
ENSP00000259895	GTF2H4
ENSP00000259915	POU5F1
ENSP00000259930	TRIM15
ENSP00000259938	CLPS
ENSP00000259939	RNF144B
ENSP00000259951	HLA-F
ENSP00000259953	NRM
ENSP00000259963	FAM8A1
ENSP00000259983	C6orf52
ENSP00000259988	FGFBP1
ENSP00000259989	FGFBP2
ENSP00000259997	CPEB2
ENSP00000260008	FHDC1
ENSP00000260010	TLR2
ENSP00000260045	PRKRIR
ENSP00000260049	IL18BP
ENSP00000260054	CCDC90B
ENSP00000260056	RAB30
ENSP00000260058	CREBZF
ENSP00000260061	LRRC32
ENSP00000260102	MRPL15
ENSP00000260113	PI15
ENSP00000260116	TTPA
ENSP00000260118	GGH
ENSP00000260126	SLCO5A1
ENSP00000260128	SULF1
ENSP00000260129	TGS1
ENSP00000260130	SDCBP
ENSP00000260184	DDX60L
ENSP00000260187	USP2
ENSP00000260191	HTR3B
ENSP00000260197	SORL1
ENSP00000260210	BUD13
ENSP00000260227	MMP7
ENSP00000260228	MMP20
ENSP00000260229	MMP27
ENSP00000260247	DCUN1D5
ENSP00000260257	FDXACB1
ENSP00000260264	POU2F3
ENSP00000260270	FDX1
ENSP00000260276	C11orf1
ENSP00000260282	FXYD6
ENSP00000260283	ARHGAP20
ENSP00000260302	MMP13
ENSP00000260323	UNC13C
ENSP00000260324	SQRDL
ENSP00000260327	CTDSPL2
ENSP00000260356	THBS1
ENSP00000260359	NUSAP1
ENSP00000260361	NDUFAF1
ENSP00000260363	KIF23
ENSP00000260372	HAUS2
ENSP00000260382	LRRC49
ENSP00000260383	TUBGCP4
ENSP00000260385	RMDN3
ENSP00000260386	ITPKA
ENSP00000260402	PLCB2
ENSP00000260403	TMEM62
ENSP00000260404	PAK6
ENSP00000260408	ADAM10
ENSP00000260433	CYP19A1
ENSP00000260442	BCL2L10
ENSP00000260443	RSL24D1
ENSP00000260447	GCHFR
ENSP00000260453	MNS1
ENSP00000260502	BCAR3
ENSP00000260505	TTLL7
ENSP00000260508	CCBL2
ENSP00000260526	ARHGAP29
ENSP00000260563	RTCA
ENSP00000260570	IFT172
ENSP00000260585	EPT1
ENSP00000260595	CGREF1
ENSP00000260598	KHK
ENSP00000260600	ADCY3
ENSP00000260605	DYNC2LI1
ENSP00000260619	THUMPD2
ENSP00000260630	CYP1B1
ENSP00000260637	SULT6B1
ENSP00000260643	PREB
ENSP00000260645	ABCG5
ENSP00000260648	PREPL
ENSP00000260649	SLC3A1
ENSP00000260653	SIX3
ENSP00000260662	CENPO
ENSP00000260665	LRPPRC
ENSP00000260682	CYP2C9
ENSP00000260702	LOXL4
ENSP00000260723	BTBD16
ENSP00000260731	KIF11
ENSP00000260743	CALHM2
ENSP00000260746	ARL3
ENSP00000260753	KIF20B
ENSP00000260762	EXOC6
ENSP00000260766	PLCE1
ENSP00000260795	FGFR3
ENSP00000260803	DBR1
ENSP00000260810	TOPBP1
ENSP00000260818	DNAJC13
ENSP00000260843	GPR87
ENSP00000260867	TIMM23
ENSP00000260926	SATB2
ENSP00000260947	BARD1
ENSP00000260950	MSTN
ENSP00000260952	ASNSD1
ENSP00000260953	METTL5
ENSP00000260956	SSB
ENSP00000260967	CDK15
ENSP00000260970	PPIG
ENSP00000260983	HECW2
ENSP00000260985	IDH1
ENSP00000260988	CRYGB
ENSP00000261007	CHRNA1
ENSP00000261015	WDR12
ENSP00000261017	ABI2
ENSP00000261023	ITGAV
ENSP00000261024	SLC40A1
ENSP00000261037	COL8A1
ENSP00000261038	DIRC2
ENSP00000261047	GUCA1C
ENSP00000261058	CCDC54
ENSP00000261070	COX17
ENSP00000261167	WBP11
ENSP00000261168	ATF7IP
ENSP00000261170	GUCY2C
ENSP00000261172	EPYC
ENSP00000261173	ATP2B1
ENSP00000261177	TSPAN11
ENSP00000261180	TRHDE
ENSP00000261182	NAP1L1
ENSP00000261183	OSBPL8
ENSP00000261187	SLC16A7
ENSP00000261191	ASUN
ENSP00000261192	BCAT1
ENSP00000261195	GYS2
ENSP00000261196	SLCO1B3
ENSP00000261200	ABCC9
ENSP00000261203	LIN7A
ENSP00000261205	SYT1
ENSP00000261206	ACSS3
ENSP00000261207	PPP1R12A
ENSP00000261208	HAL
ENSP00000261211	CDK17
ENSP00000261226	TMCC3
ENSP00000261233	IRAK3
ENSP00000261234	TMEM5
ENSP00000261244	KIAA0586
ENSP00000261245	MNAT1
ENSP00000261247	JKAMP
ENSP00000261249	TRMT5
ENSP00000261250	C12orf4
ENSP00000261254	CCND2
ENSP00000261263	RAB21
ENSP00000261267	LYZ
ENSP00000261275	FAM189A1
ENSP00000261292	LIPG
ENSP00000261296	TGDS
ENSP00000261302	FOXN3
ENSP00000261303	PSMC1
ENSP00000261304	GALC
ENSP00000261308	PPWD1
ENSP00000261313	PEBP1
ENSP00000261318	C12orf49
ENSP00000261326	MOCOS
ENSP00000261332	ZNF24
ENSP00000261336	PZP
ENSP00000261340	CLEC2D
ENSP00000261349	LRP6
ENSP00000261353	YPEL5
ENSP00000261366	LMNB1
ENSP00000261368	SNCAIP
ENSP00000261369	SNX24
ENSP00000261374	HS3ST2
ENSP00000261377	
ENSP00000261381	XYLT1
ENSP00000261383	DNAH3
ENSP00000261386	GDE1
ENSP00000261396	NUP133
ENSP00000261401	CORO1C
ENSP00000261402	NUAK1
ENSP00000261405	VWF
ENSP00000261407	LPCAT3
ENSP00000261413	MRPS27
ENSP00000261416	HEXB
ENSP00000261424	RFC1
ENSP00000261427	UBE2K
ENSP00000261434	LIAS
ENSP00000261435	N4BP2
ENSP00000261438	KLF3
ENSP00000261439	TBC1D1
ENSP00000261441	RSBN1
ENSP00000261448	CASQ2
ENSP00000261454	PROX1
ENSP00000261455	TMEM206
ENSP00000261458	HHAT
ENSP00000261461	PPP2R5A
ENSP00000261464	TRAF5
ENSP00000261465	HSD11B1
ENSP00000261475	PPP2R3C
ENSP00000261479	PSMA6
ENSP00000261483	MAN2A1
ENSP00000261486	EPB41L4A
ENSP00000261488	ENOX1
ENSP00000261497	USP22
ENSP00000261499	B9D1
ENSP00000261503	SPECC1
ENSP00000261507	MSMO1
ENSP00000261509	PALLD
ENSP00000261514	CLCN3
ENSP00000261517	VPS13C
ENSP00000261520	NARG2
ENSP00000261523	RORA
ENSP00000261530	GPATCH2L
ENSP00000261531	SNW1
ENSP00000261532	ESRRB
ENSP00000261534	POMT2
ENSP00000261537	MIB1
ENSP00000261556	TMEM260
ENSP00000261558	AP5M1
ENSP00000261560	ZNF430
ENSP00000261574	IPO5
ENSP00000261584	PALB2
ENSP00000261588	KIAA0556
ENSP00000261590	DSG2
ENSP00000261592	NOL4
ENSP00000261593	RNF138
ENSP00000261596	LPIN2
ENSP00000261597	NDC80
ENSP00000261600	THOC1
ENSP00000261601	USP14
ENSP00000261609	HERC2
ENSP00000261615	DPEP1
ENSP00000261622	SLC7A5
ENSP00000261623	CYBA
ENSP00000261636	ARL1
ENSP00000261637	UTP20
ENSP00000261643	COX10
ENSP00000261647	TTC19
ENSP00000261652	TNFRSF13B
ENSP00000261654	GPR133
ENSP00000261655	RIMBP2
ENSP00000261658	BFAR
ENSP00000261660	CPPED1
ENSP00000261667	KPNA3
ENSP00000261669	CAB39L
ENSP00000261674	SFSWAP
ENSP00000261681	MPP5
ENSP00000261692	CDK2AP1
ENSP00000261693	SCARB1
ENSP00000261700	C14orf166
ENSP00000261707	SLC6A4
ENSP00000261708	UTP6
ENSP00000261712	PSMD11
ENSP00000261713	TMEM98
ENSP00000261714	BLMH
ENSP00000261716	TAOK1
ENSP00000261721	BTBD1
ENSP00000261722	AP3B2
ENSP00000261726	CUX2
ENSP00000261729	RASAL1
ENSP00000261731	LHX5
ENSP00000261733	ALDH2
ENSP00000261735	ERP29
ENSP00000261739	ANKRD13A
ENSP00000261740	TRPV4
ENSP00000261741	RBM19
ENSP00000261745	NAA25
ENSP00000261749	ZFAND6
ENSP00000261751	CHRNB4
ENSP00000261755	FAH
ENSP00000261758	MESDC2
ENSP00000261769	CDH1
ENSP00000261772	AARS
ENSP00000261776	VAC14
ENSP00000261778	TANGO6
ENSP00000261783	ARG2
ENSP00000261789	TM9SF1
ENSP00000261796	IL17B
ENSP00000261797	NDST1
ENSP00000261798	CSNK1A1
ENSP00000261799	PDGFRB
ENSP00000261800	FAT2
ENSP00000261811	CYSTM1
ENSP00000261813	PFDN1
ENSP00000261817	PSMD9
ENSP00000261819	ANAPC5
ENSP00000261822	BCL7A
ENSP00000261826	P2RX7
ENSP00000261833	CIT
ENSP00000261835	CYP46A1
ENSP00000261837	GNB5
ENSP00000261839	MYO5C
ENSP00000261842	AP4E1
ENSP00000261844	FAM214A
ENSP00000261845	MAPK6
ENSP00000261847	SECISBP2L
ENSP00000261854	SPPL2A
ENSP00000261858	GLCE
ENSP00000261861	CORO2B
ENSP00000261862	THSD4
ENSP00000261866	SPG11
ENSP00000261867	SLC30A4
ENSP00000261868	EIF3J
ENSP00000261875	PTPLAD1
ENSP00000261879	APH1B
ENSP00000261880	AAGAB
ENSP00000261881	TIPIN
ENSP00000261883	CILP
ENSP00000261884	TRIP4
ENSP00000261888	PARP16
ENSP00000261890	RAB11A
ENSP00000261891	DAPK2
ENSP00000261892	SLC24A1
ENSP00000261893	LACTB
ENSP00000261900	CCNT1
ENSP00000261908	NEO1
ENSP00000261917	HCN4
ENSP00000261918	SEMA7A
ENSP00000261921	LOXL1
ENSP00000261937	FLT4
ENSP00000261942	FAF2
ENSP00000261944	CDHR2
ENSP00000261947	RNF130
ENSP00000261951	CNOT6
ENSP00000261965	TUBGCP3
ENSP00000261973	RBM25
ENSP00000261978	LTBP2
ENSP00000261980	VSX2
ENSP00000261991	RPS6KA5
ENSP00000261994	SERPINA10
ENSP00000262013	SPAG9
ENSP00000262018	SGCA
ENSP00000262027	MARS
ENSP00000262030	ATP5B
ENSP00000262031	RBMS2
ENSP00000262032	IKZF4
ENSP00000262033	PTGES3
ENSP00000262039	PIK3C3
ENSP00000262041	MEOX2
ENSP00000262043	PHF3
ENSP00000262052	SLC11A2
ENSP00000262053	ATF1
ENSP00000262055	LETMD1
ENSP00000262056	EIF4B
ENSP00000262059	CALCOCO1
ENSP00000262061	COPZ1
ENSP00000262065	MMD
ENSP00000262067	TSPAN13
ENSP00000262074	TTC23
ENSP00000262077	NUP153
ENSP00000262085	ZNF282
ENSP00000262094	RAB27B
ENSP00000262096	ZDHHC2
ENSP00000262101	MSR1
ENSP00000262102	MTUS1
ENSP00000262103	EFCAB1
ENSP00000262105	MCM4
ENSP00000262109	ERICH1
ENSP00000262113	MYOM2
ENSP00000262120	TWSG1
ENSP00000262126	ANKRD12
ENSP00000262127	CEP76
ENSP00000262133	RBL2
ENSP00000262134	LPCAT2
ENSP00000262138	CACNG4
ENSP00000262139	WIPI1
ENSP00000262144	WDR59
ENSP00000262146	MTFR1
ENSP00000262150	CDH19
ENSP00000262158	SMAD7
ENSP00000262160	SMAD2
ENSP00000262173	RNMT
ENSP00000262177	DNAJB6
ENSP00000262178	VIPR2
ENSP00000262186	KCNH2
ENSP00000262187	RHEB
ENSP00000262188	SMARCD3
ENSP00000262189	KMT2C
ENSP00000262193	PSMB1
ENSP00000262198	ADNP2
ENSP00000262207	CRISPLD1
ENSP00000262209	TRPA1
ENSP00000262213	TRAM1
ENSP00000262215	ARFGEF1
ENSP00000262219	ANXA13
ENSP00000262225	TMED2
ENSP00000262238	YY1
ENSP00000262241	RCOR1
ENSP00000262244	MOB3B
ENSP00000262259	ZNF175
ENSP00000262262	CD33
ENSP00000262265	PIH1D1
ENSP00000262288	SCPEP1
ENSP00000262290	LPO
ENSP00000262291	VMP1
ENSP00000262293	PRR11
ENSP00000262294	TRIM37
ENSP00000262300	PKMYT1
ENSP00000262301	LMF1
ENSP00000262302	NUBP2
ENSP00000262304	PKD1
ENSP00000262305	RAB11FIP3
ENSP00000262306	TCEB2
ENSP00000262315	CHTF18
ENSP00000262316	RHBDF1
ENSP00000262319	TELO2
ENSP00000262320	AXIN1
ENSP00000262340	RPE65
ENSP00000262345	IL12RB2
ENSP00000262352	SLC1A1
ENSP00000262365	FAM86B2
ENSP00000262366	GLIS2
ENSP00000262367	CREBBP
ENSP00000262370	MGRN1
ENSP00000262374	ALG1
ENSP00000262375	DNAJA3
ENSP00000262376	UBN1
ENSP00000262383	ZNF423
ENSP00000262384	N4BP1
ENSP00000262394	WSB1
ENSP00000262395	TRAF4
ENSP00000262406	RGS9
ENSP00000262407	ITGA2B
ENSP00000262415	DHX8
ENSP00000262418	SLC4A1
ENSP00000262419	KANSL1
ENSP00000262424	CRISPLD2
ENSP00000262426	FOXF1
ENSP00000262428	COTL1
ENSP00000262429	ATP2C2
ENSP00000262430	MLYCD
ENSP00000262432	METTL2B
ENSP00000262435	SMURF2
ENSP00000262441	GLP2R
ENSP00000262442	DNAH9
ENSP00000262445	MAP2K4
ENSP00000262450	CHD5
ENSP00000262455	ERP44
ENSP00000262457	INVS
ENSP00000262460	GINS1
ENSP00000262461	SLC12A2
ENSP00000262462	SLC27A6
ENSP00000262464	FBN2
ENSP00000262477	RABEP1
ENSP00000262482	RNF167
ENSP00000262483	PITPNM3
ENSP00000262487	ISM1
ENSP00000262493	GNAO1
ENSP00000262498	C16orf80
ENSP00000262502	SLC12A3
ENSP00000262506	CSNK2A2
ENSP00000262507	COQ9
ENSP00000262510	NLRC5
ENSP00000262518	SRCAP
ENSP00000262519	SETD1A
ENSP00000262525	ZNF629
ENSP00000262539	PTPN3
ENSP00000262544	SEC23B
ENSP00000262545	PCSK2
ENSP00000262547	DZANK1
ENSP00000262551	OGN
ENSP00000262554	SPTLC1
ENSP00000262570	CHCHD3
ENSP00000262577	ZC3H3
ENSP00000262580	GSDMD
ENSP00000262584	RPL8
ENSP00000262585	DENND3
ENSP00000262593	DOK5
ENSP00000262605	TTPAL
ENSP00000262607	CECR1
ENSP00000262608	CECR2
ENSP00000262613	SLC9A3R1
ENSP00000262622	CHST8
ENSP00000262623	ATP4A
ENSP00000262626	HPN
ENSP00000262629	TYROBP
ENSP00000262630	ZBTB32
ENSP00000262633	RBM42
ENSP00000262637	OVOL3
ENSP00000262643	CCNE1
ENSP00000262644	IMPAD1
