Ensembl Protein ID	HGNC symbol
ENSP00000170447	MKRN2
ENSP00000170564	GPATCH1
ENSP00000170630	IL4R
ENSP00000171111	KEAP1
ENSP00000171214	RDH8
ENSP00000171757	P2RY10
ENSP00000171887	TNS1
ENSP00000172229	NGFR
ENSP00000173229	NTN1
ENSP00000173527	ISOC1
ENSP00000173898	TRO
ENSP00000174618	MNT
ENSP00000174621	TRPV1
ENSP00000174653	AP3M2
ENSP00000175091	LAPTM4A
ENSP00000175238	ADAM7
ENSP00000175506	ASNS
ENSP00000175756	PTPN18
ENSP00000176183	DRD4
ENSP00000176195	SCT
ENSP00000176763	STK10
ENSP00000177648	ALPK1
ENSP00000177694	TBX21
ENSP00000178638	CA12
ENSP00000178640	MAP2K5
ENSP00000179259	C12orf5
ENSP00000180166	FGF20
ENSP00000180173	MTMR7
ENSP00000181383	CPB2
ENSP00000181796	FAM107B
ENSP00000181839	CDK13
ENSP00000182096	CRYBG3
ENSP00000182290	TSPAN32
ENSP00000182377	FAR2
ENSP00000182527	TRAM2
ENSP00000183605	CLDN18
ENSP00000184183	ROPN1
ENSP00000184266	NDUFB4
ENSP00000184956	HEATR6
ENSP00000185150	ERLEC1
ENSP00000185206	CLIC5
ENSP00000185907	ASAH2B
ENSP00000186436	TMEM131
ENSP00000187397	ARPP21
ENSP00000187762	TMEM38A
ENSP00000188312	ACTR6
ENSP00000188790	FAP
ENSP00000189444	NFKB2
ENSP00000190165	DMRT3
ENSP00000190983	WISP2
ENSP00000192314	GAL3ST2
ENSP00000192788	UHRF1BP1
ENSP00000193322	OSTM1
ENSP00000193391	IMPG2
ENSP00000194118	KIAA0141
ENSP00000194130	SLC13A1
ENSP00000194152	PCDHB4
ENSP00000194155	PCDHB2
ENSP00000194214	HSPB11
ENSP00000194530	STRADB
ENSP00000194672	FAM135A
ENSP00000194871	COBLL1
ENSP00000195455	C4orf6
ENSP00000195649	SNAP91
ENSP00000195654	DOPEY1
ENSP00000196061	PLOD1
ENSP00000196169	TDRD3
ENSP00000196371	OXCT1
ENSP00000196482	ZNF324
ENSP00000196489	ZNF416
ENSP00000196548	
ENSP00000196551	RPS5
ENSP00000197268	KIAA1467
ENSP00000198536	PILRA
ENSP00000198765	CPNE3
ENSP00000198767	RRN3
ENSP00000198801	MOGAT2
ENSP00000198939	CHERP
ENSP00000199280	AQP2
ENSP00000199320	DIMT1
ENSP00000199389	EIF2AK1
ENSP00000199447	NME8
ENSP00000199448	EPDR1
ENSP00000199706	MRPL28
ENSP00000199708	HBQ1
ENSP00000199764	CEACAM6
ENSP00000199814	RBM22
ENSP00000199936	HSD17B2
ENSP00000200135	ZW10
ENSP00000200181	ITGB4
ENSP00000200307	CCL7
ENSP00000200453	PPP1R15A
ENSP00000200457	TRIP6
ENSP00000200557	ADAM11
ENSP00000200652	SLC22A4
ENSP00000200676	CETP
ENSP00000200691	MT3
ENSP00000201031	TFAP2C
ENSP00000201586	SULT2B1
ENSP00000201647	EPS8L1
ENSP00000201979	REM1
ENSP00000202017	PDRG1
ENSP00000202556	PPP1R13B
ENSP00000202625	TGM6
ENSP00000202677	RALGAPA2
ENSP00000202773	RPL6
ENSP00000202816	ESF1
ENSP00000202831	SLC8B1
ENSP00000202967	SIRT4
ENSP00000203001	TRMT6
ENSP00000203407	UQCRC1
ENSP00000203556	GMIP
ENSP00000203629	LAG3
ENSP00000203630	MLF2
ENSP00000203664	OTUB2
ENSP00000203786	ARHGAP4
ENSP00000204517	TFAP4
ENSP00000204549	PDCD7
ENSP00000204566	SPG21
ENSP00000204604	CHRD
ENSP00000204615	THPO
ENSP00000204637	FLT3LG
ENSP00000204679	GNPTG
ENSP00000204726	GOLGA3
ENSP00000204961	EFNB1
ENSP00000205061	GLG1
ENSP00000205143	DLL3
ENSP00000205194	NAT14
ENSP00000205214	AASDH
ENSP00000205386	LAMB4
ENSP00000205402	DLD
ENSP00000205557	ABCC6
ENSP00000205636	CMTM6
ENSP00000205890	MYO15A
ENSP00000205948	APOH
ENSP00000206020	SPAG7
ENSP00000206249	ESR1
ENSP00000206262	RGS17
ENSP00000206380	TMEM101
ENSP00000206423	CCDC80
ENSP00000206474	HAUS4
ENSP00000206513	CEBPE
ENSP00000206542	OSGEP
ENSP00000206544	SLC22A17
ENSP00000206595	G2E3
ENSP00000206765	TGM1
ENSP00000207157	TBX15
ENSP00000207437	MYL6B
ENSP00000207457	TEKT2
ENSP00000207549	UNC13D
ENSP00000207870	XYLB
ENSP00000209540	OR1I1
ENSP00000209665	ADH7
ENSP00000209668	ADH1A
ENSP00000209718	KRT23
ENSP00000209728	CDC6
ENSP00000209873	AAAS
ENSP00000209875	CBX5
ENSP00000209884	KLHL20
ENSP00000209929	FMO2
ENSP00000210060	DHPS
ENSP00000210187	RAB26
ENSP00000210313	PSMD5
ENSP00000210444	NANS
ENSP00000210633	SEMA4G
ENSP00000211076	TPSD1
ENSP00000211122	GSTA3
ENSP00000211287	MAPK13
ENSP00000211314	TMEM14A
ENSP00000211372	RPS18
ENSP00000211402	VARS
ENSP00000211413	PRRT1
ENSP00000211936	ZNF184
ENSP00000211998	VCL
ENSP00000212015	SIRT1
ENSP00000212355	TGFBR3
ENSP00000214869	TMED1
ENSP00000215057	MZF1
ENSP00000215061	OCEL1
ENSP00000215071	PSMD8
ENSP00000215095	STX1B
ENSP00000215115	BCL7C
ENSP00000215368	EFNA2
ENSP00000215375	ATP5D
ENSP00000215376	C19orf26
ENSP00000215479	AMELY
ENSP00000215530	FGF22
ENSP00000215531	C19orf77
ENSP00000215539	IGFALS
ENSP00000215555	MARCH2
ENSP00000215565	NDUFB7
ENSP00000215567	TECR
ENSP00000215570	TIMM13
ENSP00000215574	CDC34
ENSP00000215582	MISP
ENSP00000215587	POLR2E
ENSP00000215631	GADD45B
ENSP00000215637	MADCAM1
ENSP00000215659	MAPK12
ENSP00000215727	SERPIND1
ENSP00000215730	SNAP29
ENSP00000215739	LZTR1
ENSP00000215742	THAP7
ENSP00000215743	MMP11
ENSP00000215754	MIF
ENSP00000215770	DDTL
ENSP00000215773	DDT
ENSP00000215780	GSTT2
ENSP00000215781	OSM
ENSP00000215790	TBC1D10A
ENSP00000215793	SF3A1
ENSP00000215794	USP18
ENSP00000215812	SEC14L3
ENSP00000215829	SNRPD3
ENSP00000215832	MAPK1
ENSP00000215838	TCN2
ENSP00000215855	CRYBB3
ENSP00000215862	MORC2
ENSP00000215882	SLC25A1
ENSP00000215885	PLA2G3
